"00BL001","Blackrod"
"00CF001","Aston cum Aughton"
"00CF002","Bramley"
"00CF003","Brampton Bierlow"
"00CF004","Brinsworth"
"00CF005","Catcliffe"
"00CF006","Dalton"
"00CF007","Dinnington St. John's"
"00CF008","Firbeck"
"00CF009","Gildingwells"
"00CF010","Harthill with Woodall"
"00CF011","Hooton Levitt"
"00CF012","Hooton Roberts"
"00CF013","Letwell"
"00CF014","North and South Anston"
"00CF015","Orgreave"
"00CF016","Ravenfield"
"00CF017","Thorpe Salvin"
"00CF018","Thrybergh"
"00CF019","Thurcroft"
"00CF020","Todwick"
"00CF021","Treeton"
"00CF022","Ulley"
"00CF023","Wales"
"00CF024","Wentworth"
"00CF025","Whiston"
"00CF026","Wickersley"
"00CF027","Woodsetts"
"00CF028","Laughton-en-le-Morthen"
"00CF029","Maltby"
"00CG001","Bradfield"
"00CG002","Ecclesfield"
"00CG003","Stocksbridge"
"00CH001","Birtley"
"00CH002","Lamesley"
"00CJ001","Brunswick"
"00CJ002","Dinnington"
"00CJ003","Hazlerigg"
"00CJ004","North Gosforth"
"00CJ005","Woolsington"
"00CJ006","Blakelaw and North Fenham"
"00CM001","Burdon"
"00CM002","Hetton"
"00CM003","Warden Law"
"00CN001","New Frankley in Birmingham"
"00CQ001","Allesley"
"00CQ002","Keresley"
"00CT001","Balsall"
"00CT002","Barston"
"00CT003","Berkswell"
"00CT004","Bickenhill"
"00CT005","Castle Bromwich"
"00CT006","Chelmsley Wood"
"00CT007","Fordbridge"
"00CT008","Hampton in Arden"
"00CT009","Hockley Heath"
"00CT010","Kingshurst"
"00CT011","Meriden"
"00CT012","Smith's Wood"
"00CX001","Addingham"
"00CX002","Cullingworth"
"00CX003","Denholme"
"00CX004","Ilkley"
"00CX005","Oxenhope"
"00CX006","Silsden"
"00CX007","Steeton with Eastburn"
"00CX008","Haworth, Cross Roads and Stanbury"
"00CX009","Keighley"
"00CX010","Clayton"
"00CX011","Sandy Lane"
"00CX012","Wilsden"
"00CX013","Wrose"
"00CY001","Blackshaw"
"00CY002","Erringden"
"00CY003","Hebden Royd"
"00CY004","Heptonstall"
"00CY005","Ripponden"
"00CY006","Todmorden"
"00CY007","Wadsworth"
"00CZ001","Denby Dale"
"00CZ002","Holme Valley"
"00CZ003","Kirkburton"
"00CZ004","Meltham"
"00CZ005","Mirfield"
"00DA001","Aberford"
"00DA002","Arthington"
"00DA003","Austhorpe"
"00DA004","Bardsey cum Rigton"
"00DA005","Barwick in Elmet and Scholes"
"00DA006","Boston Spa"
"00DA007","Bramham cum Oglethorpe"
"00DA008","Bramhope"
"00DA009","Carlton"
"00DA010","Clifford"
"00DA011","Collingham"
"00DA012","East Keswick"
"00DA013","Great and Little Preston"
"00DA014","Harewood"
"00DA015","Ledsham"
"00DA016","Ledston"
"00DA017","Lotherton cum Aberford"
"00DA018","Micklefield"
"00DA019","Otley"
"00DA020","Parlington"
"00DA021","Pool"
"00DA022","Scarcroft"
"00DA023","Sturton Grange"
"00DA024","Swillington"
"00DA025","Thorner"
"00DA026","Thorp Arch"
"00DA027","Walton"
"00DA028","Wetherby"
"00DA029","Wothersome"
"00DA030","Morley"
"00DA031","Allerton Bywater"
"00DA032","Horsforth"
"00DA033","Shadwell"
"00DA034","Kippax"
"00DA035","Drighlington"
"00DA036","Gildersome"
"00DB001","Ackworth"
"00DB002","Badsworth"
"00DB003","Chevet"
"00DB004","Crigglestone"
"00DB005","Crofton"
"00DB006","Darrington"
"00DB007","East Hardwick"
"00DB008","Featherstone"
"00DB009","Havercroft with Cold Hiendley"
"00DB010","Hemsworth"
"00DB011","Hessle and Hill Top"
"00DB012","Huntwick with Foulby and Nostell"
"00DB013","Newland with Woodhouse Moor"
"00DB014","Normanton"
"00DB015","North Elmsall"
"00DB016","Notton"
"00DB017","Ryhill"
"00DB018","Sharlston"
"00DB019","Sitlington"
"00DB020","South Elmsall"
"00DB021","South Hiendley"
"00DB022","South Kirkby and Moorthorpe"
"00DB023","Thorpe Audlin"
"00DB024","Upton"
"00DB025","Walton"
"00DB026","Warmfield cum Heath"
"00DB027","West Bretton"
"00DB028","West Hardwick"
"00DB029","Wintersett"
"00DB030","Woolley"
"00EB001","Brierton"
"00EB002","Claxton"
"00EB003","Dalton Piercy"
"00EB004","Elwick"
"00EB005","Greatham"
"00EB006","Hart"
"00EB007","Newton Bewley"
"00EB008","Headland"
"00EC001","Nunthorpe"
"00EC002","Stainton and Thornton"
"00EE001","Guisborough"
"00EE002","Lockwood"
"00EE003","Loftus"
"00EE004","Saltburn, Marske and New Marske"
"00EE005","Skelton and Brotton"
"00EF001","Aislaby"
"00EF002","Carlton"
"00EF003","Castlelevington"
"00EF004","Egglescliffe"
"00EF005","Elton"
"00EF006","Grindon"
"00EF007","Hilton"
"00EF008","Ingleby Barwick"
"00EF009","Kirklevington"
"00EF010","Longnewton"
"00EF011","Maltby"
"00EF012","Newsham"
"00EF013","Preston-on-Tees"
"00EF014","Redmarshall"
"00EF015","Stillington and Whitton"
"00EF016","Thornaby"
"00EF017","Wolviston"
"00EF018","Yarm"
"00EH001","Archdeacon Newton"
"00EH002","Barmpton"
"00EH003","Bishopton"
"00EH004","Brafferton"
"00EH005","Coatham Mundeville"
"00EH006","Denton"
"00EH007","East and West Newbiggin"
"00EH008","Great Burdon"
"00EH009","Great Stainton"
"00EH010","Heighington"
"00EH011","High Coniscliffe"
"00EH012","Houghton le Side"
"00EH013","Hurworth"
"00EH014","Killerby"
"00EH015","Little Stainton"
"00EH016","Low Coniscliffe and Merrybent"
"00EH017","Low Dinsdale"
"00EH018","Middleton St. George"
"00EH019","Morton Palms"
"00EH020","Neasham"
"00EH021","Piercebridge"
"00EH022","Sadberge"
"00EH023","Sockburn"
"00EH024","Summerhouse"
"00EH025","Walworth"
"00EH026","Whessoe"
"00ET001","Daresbury"
"00ET002","Hale"
"00ET003","Moore"
"00ET004","Preston Brook"
"00EU001","Appleton"
"00EU002","Birchwood"
"00EU003","Burtonwood and Westbrook"
"00EU004","Croft"
"00EU005","Cuerdley"
"00EU006","Culcheth and Glazebury"
"00EU007","Grappenhall and Thelwall"
"00EU008","Great Sankey"
"00EU009","Hatton"
"00EU010","Lymm"
"00EU011","Penketh"
"00EU012","Poulton-with-Fearnhead"
"00EU013","Rixton-with-Glazebrook"
"00EU014","Stockton Heath"
"00EU015","Stretton"
"00EU016","Walton"
"00EU017","Winwick"
"00EU018","Woolston"
"00EX001","Eccleshill"
"00EX002","Livesey"
"00EX003","North Turton"
"00EX004","Pleasington"
"00EX005","Tockholes"
"00EX006","Yate and Pickup Bank"
"00FB001","Airmyn"
"00FB002","Aldbrough"
"00FB003","Allerthorpe"
"00FB004","Asselby"
"00FB005","Atwick"
"00FB006","Bainton"
"00FB007","Barmby Moor"
"00FB008","Barmby on the Marsh"
"00FB009","Barmston"
"00FB010","Beeford"
"00FB011","Bielby"
"00FB012","Bempton"
"00FB013","Beswick"
"00FB014","Bewholme"
"00FB015","Bilton"
"00FB016","Bishop Burton"
"00FB017","Bishop Wilton"
"00FB018","Blacktoft"
"00FB019","Boynton"
"00FB020","Brandesburton"
"00FB021","Brantingham"
"00FB022","Broomfleet"
"00FB023","Bubwith"
"00FB024","Bugthorpe"
"00FB025","Burstwick"
"00FB026","Burton Agnes"
"00FB027","Burton Constable"
"00FB028","Burton Fleming"
"00FB029","Burton Pidsea"
"00FB030","Carnaby"
"00FB031","Catton"
"00FB032","Catwick"
"00FB033","Cherry Burton"
"00FB034","Coniston"
"00FB035","Cottam"
"00FB036","Cottingwith"
"00FB037","Dalton Holme"
"00FB038","Driffield"
"00FB039","Easington"
"00FB040","East Garton"
"00FB041","Eastrington"
"00FB042","Ellerby"
"00FB043","Ellerker"
"00FB044","Ellerton"
"00FB045","Elloughton-cum-Brough"
"00FB046","Elstronwick"
"00FB047","Etton"
"00FB048","Everingham"
"00FB049","Fangfoss"
"00FB050","Fimber"
"00FB051","Flamborough"
"00FB052","Foggathorpe"
"00FB053","Foston"
"00FB054","Fridaythorpe"
"00FB055","Full Sutton"
"00FB056","Garton"
"00FB057","Gilberdyke"
"00FB058","Goodmanham"
"00FB059","Goole"
"00FB060","Goole Fields"
"00FB061","Gowdall"
"00FB062","Grindale"
"00FB063","Halsham"
"00FB064","Harpham"
"00FB065","Hatfield"
"00FB066","Hayton"
"00FB067","Hedon"
"00FB068","Hessle"
"00FB069","Hollym"
"00FB070","Holme upon Spalding Moor"
"00FB071","Holmpton"
"00FB072","Hook"
"00FB073","Hornsea"
"00FB074","Hotham"
"00FB075","Howden"
"00FB076","Huggate"
"00FB077","Humbleton"
"00FB078","Hutton Cranswick"
"00FB079","Kelk"
"00FB080","Keyingham"
"00FB081","Kilham"
"00FB082","Kilpin"
"00FB083","Kirby Underdale"
"00FB084","Kirkburn"
"00FB085","Langtoft"
"00FB086","Laxton"
"00FB087","Leconfield"
"00FB088","Leven"
"00FB089","Lockington"
"00FB090","Londesborough"
"00FB091","Lund"
"00FB092","Mappleton"
"00FB093","Market Weighton"
"00FB094","Melbourne"
"00FB095","Middleton"
"00FB096","Millington"
"00FB097","Molescroft"
"00FB098","Nafferton"
"00FB099","Newbald"
"00FB100","Newport"
"00FB101","Newton on Derwent"
"00FB102","North Cave"
"00FB103","North Dalton"
"00FB104","North Ferriby"
"00FB105","North Frodingham"
"00FB106","Nunburnholme"
"00FB107","Ottringham"
"00FB108","Patrington"
"00FB109","Paull"
"00FB110","Pocklington"
"00FB111","Pollington"
"00FB112","Preston"
"00FB113","Rawcliffe"
"00FB114","Reedness"
"00FB115","Rimswell"
"00FB116","Rise"
"00FB117","Riston"
"00FB118","Roos"
"00FB119","Routh"
"00FB120","Rowley"
"00FB121","Rudston"
"00FB122","Sancton"
"00FB123","Seaton"
"00FB124","Seaton Ross"
"00FB125","Shipton Thorpe"
"00FB126","Sigglesthorne"
"00FB127","Skeffling"
"00FB128","Skerne and Wansford"
"00FB129","Skidby"
"00FB130","Skipsea"
"00FB131","Skirlaugh"
"00FB132","Skirpenbeck"
"00FB133","Sledmere"
"00FB134","Snaith and Cowick"
"00FB135","South Cave"
"00FB136","South Cliffe"
"00FB137","Spaldington"
"00FB138","Sproatley"
"00FB139","Stamford Bridge"
"00FB140","Sunk Island"
"00FB141","Sutton upon Derwent"
"00FB142","Swanland"
"00FB143","Swine"
"00FB144","Swinefleet"
"00FB145","Thorngumbald"
"00FB146","Thornton"
"00FB147","Thwing"
"00FB148","Tibthorpe"
"00FB149","Tickton"
"00FB150","Twin Rivers"
"00FB151","Ulrome"
"00FB152","Walkington"
"00FB153","Warter"
"00FB154","Watton"
"00FB155","Wawne"
"00FB156","Welton"
"00FB157","Welwick"
"00FB158","Wetwang"
"00FB159","Wilberfoss"
"00FB160","Withernsea"
"00FB161","Withernwick"
"00FB162","Wold Newton"
"00FB163","Woodmansey"
"00FB164","Wressle"
"00FB165","Yapham"
"00FB166","Beverley"
"00FB167","Cottingham"
"00FB168","Anlaby with Anlaby Common"
"00FB169","Bridlington"
"00FB170","Kirk Ella"
"00FB171","Willerby"
"00FC001","Ashby cum Fenby"
"00FC002","Aylesby"
"00FC003","Barnoldby le Beck"
"00FC004","Beelsby"
"00FC005","Bradley"
"00FC006","Brigsley"
"00FC007","East Ravendale"
"00FC008","Habrough"
"00FC009","Hatcliffe"
"00FC010","Hawerby cum Beesby"
"00FC011","Healing"
"00FC012","Humberston"
"00FC013","Immingham"
"00FC014","Irby"
"00FC015","Laceby"
"00FC016","New Waltham"
"00FC017","Stallingborough"
"00FC018","Waltham"
"00FC019","West Ravendale"
"00FC020","Wold Newton"
"00FC021","Great Coates"
"00FD001","Alkborough"
"00FD002","Amcotts"
"00FD003","Appleby"
"00FD004","Barnetby le Wold"
"00FD005","Barrow upon Humber"
"00FD006","Barton-upon-Humber"
"00FD007","Belton"
"00FD008","Bonby"
"00FD009","Bottesford"
"00FD010","Brigg"
"00FD011","Broughton"
"00FD012","Burringham"
"00FD013","Burton upon Stather"
"00FD014","Cadney"
"00FD015","Crowle"
"00FD016","Croxton"
"00FD017","East Butterwick"
"00FD018","East Halton"
"00FD019","Eastoft"
"00FD020","Elsham"
"00FD021","Epworth"
"00FD022","Flixborough"
"00FD023","Garthorpe and Fockerby"
"00FD024","Goxhill"
"00FD025","Gunness"
"00FD027","Haxey"
"00FD028","Hibaldstow"
"00FD029","Holme"
"00FD030","Horkstow"
"00FD031","Keadby with Althorpe"
"00FD032","Kirmington"
"00FD033","Kirton in Lindsey"
"00FD034","Luddington and Haldenby"
"00FD035","Manton"
"00FD036","Melton Ross"
"00FD037","Messingham"
"00FD038","New Holland"
"00FD039","North Killingholme"
"00FD040","Owston Ferry"
"00FD041","Redbourne"
"00FD042","Roxby cum Risby"
"00FD043","Saxby All Saints"
"00FD044","Scawby"
"00FD045","South Ferriby"
"00FD046","South Killingholme"
"00FD047","Thornton Curtis"
"00FD048","Ulceby"
"00FD049","West Butterwick"
"00FD050","West Halton"
"00FD051","Whitton"
"00FD052","Winteringham"
"00FD053","Winterton"
"00FD054","Wootton"
"00FD055","Worlaby"
"00FD056","Wrawby"
"00FD057","Wroot"
"00FD058","Ashby Parkland"
"00FF001","Acaster Malbis"
"00FF002","Askham Bryan"
"00FF003","Askham Richard"
"00FF004","Bishopthorpe"
"00FF005","Clifton Without"
"00FF006","Copmanthorpe"
"00FF007","Deighton"
"00FF008","Dunnington"
"00FF009","Earswick"
"00FF010","Elvington"
"00FF011","Fulford"
"00FF012","Haxby"
"00FF013","Heslington"
"00FF014","Hessay"
"00FF015","Heworth Without"
"00FF016","Holtby"
"00FF017","Huntington"
"00FF018","Kexby"
"00FF019","Murton"
"00FF020","Naburn"
"00FF021","Nether Poppleton"
"00FF022","New Earswick"
"00FF023","Osbaldwick"
"00FF024","Rawcliffe"
"00FF025","Rufforth"
"00FF026","Skelton"
"00FF027","Stockton-on-the-Forest"
"00FF028","Strensall"
"00FF029","Towthorpe"
"00FF030","Upper Poppleton"
"00FF031","Wheldrake"
"00FF032","Wigginton"
"00FP001","Ashwell"
"00FP002","Ayston"
"00FP003","Barleythorpe"
"00FP004","Barrow"
"00FP005","Barrowden"
"00FP006","Beaumont Chase"
"00FP007","Belton-in-Rutland"
"00FP008","Bisbrooke"
"00FP009","Braunston-in-Rutland"
"00FP010","Brooke"
"00FP011","Burley"
"00FP012","Caldecott"
"00FP013","Clipsham"
"00FP014","Cottesmore"
"00FP015","Edith Weston"
"00FP016","Egleton"
"00FP017","Empingham"
"00FP018","Essendine"
"00FP019","Exton"
"00FP020","Glaston"
"00FP021","Great Casterton"
"00FP022","Greetham"
"00FP023","Gunthorpe"
"00FP024","Hambleton"
"00FP025","Horn"
"00FP026","Ketton"
"00FP027","Langham"
"00FP028","Leighfield"
"00FP029","Little Casterton"
"00FP030","Lyddington"
"00FP031","Lyndon"
"00FP032","Manton"
"00FP033","Market Overton"
"00FP034","Martinsthorpe"
"00FP035","Morcott"
"00FP036","Normanton"
"00FP037","North Luffenham"
"00FP038","Oakham"
"00FP039","Pickworth"
"00FP040","Pilton"
"00FP041","Preston"
"00FP042","Ridlington"
"00FP043","Ryhall"
"00FP044","Seaton"
"00FP045","South Luffenham"
"00FP046","Stoke Dry"
"00FP047","Stretton"
"00FP048","Teigh"
"00FP049","Thistleton"
"00FP050","Thorpe by Water"
"00FP051","Tickencote"
"00FP052","Tinwell"
"00FP053","Tixover"
"00FP054","Uppingham"
"00FP055","Wardley"
"00FP056","Whissendine"
"00FP057","Whitwell"
"00FP058","Wing"
"00GA001","Abbey Dore"
"00GA002","Aconbury"
"00GA003","Acton Beauchamp"
"00GA004","Adforton"
"00GA005","Allensmore"
"00GA006","Almeley"
"00GA007","Ashperton"
"00GA008","Aston Ingham"
"00GA009","Avenbury"
"00GA010","Aylton"
"00GA011","Aymestrey"
"00GA012","Bacton"
"00GA013","Ballingham"
"00GA014","Bartestree"
"00GA015","Birley with Upper Hill"
"00GA016","Bishop's Frome"
"00GA017","Bishopstone"
"00GA018","Blakemere"
"00GA019","Bodenham"
"00GA020","Bolstone"
"00GA021","Bosbury"
"00GA022","Brampton Abbotts"
"00GA023","Brampton Bryan"
"00GA024","Bredenbury"
"00GA025","Bredwardine"
"00GA026","Breinton"
"00GA027","Bridge Sollers"
"00GA028","Bridstow"
"00GA029","Brilley"
"00GA030","Brimfield"
"00GA031","Brinsop and Wormsley"
"00GA032","Brobury with Monnington on Wye"
"00GA033","Brockhampton (Old Gore)"
"00GA034","Brockhampton (Bringsty)"
"00GA035","Bromyard and Winslow"
"00GA036","Buckton and Coxall"
"00GA037","Burghill"
"00GA038","Burrington"
"00GA039","Byford"
"00GA040","Byton"
"00GA041","Callow"
"00GA042","Canon Frome"
"00GA043","Canon Pyon"
"00GA044","Castle Frome"
"00GA045","Clehonger"
"00GA046","Clifford"
"00GA047","Coddington"
"00GA048","Collington"
"00GA049","Colwall"
"00GA050","Combe"
"00GA051","Cradley"
"00GA052","Craswall"
"00GA053","Credenhill"
"00GA054","Croft and Yarpole"
"00GA055","Cusop"
"00GA056","Dewsall"
"00GA057","Dilwyn"
"00GA058","Dinedor"
"00GA059","Dinmore"
"00GA060","Docklow and Hampton Wafer"
"00GA061","Donnington"
"00GA062","Dormington"
"00GA063","Dorstone"
"00GA064","Downton"
"00GA065","Dulas"
"00GA066","Eardisland"
"00GA067","Eardisley"
"00GA068","Eastnor"
"00GA069","Eaton Bishop"
"00GA070","Edvin Loach and Saltmarshe"
"00GA071","Edwyn Ralph"
"00GA072","Eggleton"
"00GA073","Elton"
"00GA074","Evesbatch"
"00GA075","Ewyas Harold"
"00GA076","Eye, Moreton and Ashton"
"00GA077","Eyton"
"00GA078","Felton"
"00GA079","Ford and Stoke Prior"
"00GA080","Fownhope"
"00GA081","Foy"
"00GA082","Ganarew"
"00GA083","Garway"
"00GA084","Goodrich"
"00GA085","Grafton"
"00GA086","Grendon Bishop"
"00GA087","Hampton Bishop"
"00GA088","Hampton Charles"
"00GA089","Harewood"
"00GA090","Hatfield and Newhampton"
"00GA091","Haywood"
"00GA092","Hentland"
"00GA093","Holme Lacy"
"00GA094","Holmer & Shelwick"
"00GA095","Hope Mansell"
"00GA096","Hope under Dinmore"
"00GA097","How Caple"
"00GA098","Humber"
"00GA099","Huntington"
"00GA100","Kenchester"
"00GA101","Kenderchurch"
"00GA102","Kentchurch"
"00GA103","Kilpeck"
"00GA104","Kimbolton"
"00GA105","King's Pyon"
"00GA106","Kings Caple"
"00GA107","Kingsland"
"00GA108","Kingstone"
"00GA109","Kington"
"00GA110","Kington Rural"
"00GA111","Kinnersley"
"00GA112","Kinsham"
"00GA113","Knill"
"00GA114","Laysters"
"00GA115","Lea"
"00GA116","Ledbury"
"00GA117","Leinthall Starkes"
"00GA118","Leintwardine"
"00GA119","Leominster"
"00GA120","Letton"
"00GA121","Lingen"
"00GA122","Linton (Bringsty)"
"00GA123","Linton (Penyard)"
"00GA124","Little Birch"
"00GA125","Little Cowarne"
"00GA126","Little Dewchurch"
"00GA127","Little Hereford"
"00GA128","Little Marcle"
"00GA129","Llancillo"
"00GA130","Llandinabo"
"00GA131","Llangarron"
"00GA132","Llanrothal"
"00GA133","Llanveynoe"
"00GA134","Llanwarne"
"00GA135","Longtown"
"00GA136","Lower Bullingham"
"00GA137","Lower Harpton"
"00GA138","Lucton"
"00GA139","Lugwardine"
"00GA140","Luston"
"00GA141","Lyonshall"
"00GA142","Madley"
"00GA143","Mansell Gamage"
"00GA144","Mansell Lacy"
"00GA145","Marden"
"00GA146","Marstow"
"00GA147","Mathon"
"00GA148","Michaelchurch Escley"
"00GA149","Middleton on the Hill"
"00GA150","Moccas"
"00GA151","Monkland and Stretford"
"00GA152","Mordiford"
"00GA153","Moreton Jeffries"
"00GA154","Moreton on Lugg"
"00GA155","Much Birch"
"00GA156","Much Cowarne"
"00GA157","Much Dewchurch"
"00GA158","Much Marcle"
"00GA159","Munsley"
"00GA160","Newton (Hampton Court)"
"00GA161","Newton (Golden Valley South)"
"00GA162","Norton"
"00GA163","Norton Canon"
"00GA164","Ocle Pychard"
"00GA165","Orcop"
"00GA166","Orleton"
"00GA167","Pembridge"
"00GA168","Pencombe with Grendon Warren"
"00GA169","Pencoyd"
"00GA170","Peterchurch"
"00GA171","Peterstow"
"00GA172","Pipe and Lyde"
"00GA173","Pipe Aston"
"00GA174","Pixley"
"00GA175","Preston on Wye"
"00GA176","Preston Wynne"
"00GA177","Pudlestone"
"00GA178","Putley"
"00GA179","Richards Castle (Hereford)"
"00GA180","Rodd, Nash and Little Brampton"
"00GA181","Ross-on-Wye"
"00GA182","Ross Rural"
"00GA183","Rowlstone"
"00GA184","St. Devereux"
"00GA185","St. Margarets"
"00GA186","St. Weonards"
"00GA187","Sarnesfield"
"00GA188","Sellack"
"00GA189","Shobdon"
"00GA190","Sollers Hope"
"00GA191","Stanford Bishop"
"00GA192","Stapleton"
"00GA193","Staunton on Arrow"
"00GA194","Staunton on Wye"
"00GA195","Stoke Edith"
"00GA196","Stoke Lacy"
"00GA197","Stretton Grandison"
"00GA198","Stretton Sugwas"
"00GA199","Sutton"
"00GA200","Tarrington"
"00GA201","Tedstone Delamere"
"00GA202","Tedstone Wafer"
"00GA203","Thornbury"
"00GA204","Thruxton"
"00GA205","Titley"
"00GA206","Tretire with Michaelchurch"
"00GA207","Treville"
"00GA208","Turnastone"
"00GA209","Tyberton"
"00GA210","Ullingswick"
"00GA211","Upper Sapey"
"00GA212","Upton Bishop"
"00GA213","Vowchurch"
"00GA214","Wacton"
"00GA215","Walford"
"00GA216","Walford, Letton and Newton"
"00GA217","Walterstone"
"00GA218","Wellington"
"00GA219","Wellington Heath"
"00GA220","Welsh Bicknor"
"00GA221","Welsh Newton"
"00GA222","Weobley"
"00GA223","Westhide"
"00GA224","Weston Beggard"
"00GA225","Weston under Penyard"
"00GA226","Whitbourne"
"00GA227","Whitchurch"
"00GA228","Whitney-on-Wye"
"00GA229","Wigmore"
"00GA230","Willersley and Winforton"
"00GA231","Willey"
"00GA232","Withington"
"00GA233","Wolferlow"
"00GA234","Woolhope"
"00GA235","Wormbridge"
"00GA236","Yarkhill"
"00GA237","Yatton"
"00GA238","Yazor"
"00GA239","Belmont Rural"
"00GA240","Hereford"
"00GF001","Chetwynd"
"00GF002","Chetwynd Aston and Woodcote"
"00GF003","Church Aston"
"00GF004","Dawley Hamlets"
"00GF005","Edgmond"
"00GF006","Ercall Magna"
"00GF007","Eyton Upon The Weald Moors"
"00GF008","Great Dawley"
"00GF009","Hadley & Leegomery"
"00GF010","Hollinswood and Randlay"
"00GF011","Ketley"
"00GF012","Kynnersley"
"00GF013","Lawley and Overdale"
"00GF014","Lilleshall and Donnington"
"00GF015","Little Wenlock"
"00GF016","Madeley"
"00GF017","Newport"
"00GF018","Oakengates"
"00GF019","Preston Upon The Weald Moors"
"00GF020","Rodington"
"00GF021","St Georges and Priorslee"
"00GF022","Stirchley and Brookside"
"00GF023","The Gorge"
"00GF024","Tibberton and Cherrington"
"00GF025","Waters Upton"
"00GF026","Wellington"
"00GF027","Wrockwardine"
"00GF028","Wrockwardine Wood and Trench"
"00HA001","Bathampton"
"00HA002","Batheaston"
"00HA003","Bathford"
"00HA004","Cameley"
"00HA005","Camerton"
"00HA006","Charlcombe"
"00HA007","Chelwood"
"00HA008","Chew Magna"
"00HA009","Chew Stoke"
"00HA010","Claverton"
"00HA011","Clutton"
"00HA012","Combe Hay"
"00HA013","Compton Dando"
"00HA014","Compton Martin"
"00HA015","Corston"
"00HA016","Dunkerton"
"00HA017","East Harptree"
"00HA018","Englishcombe"
"00HA019","Farmborough"
"00HA020","Farrington Gurney"
"00HA021","Freshford"
"00HA022","High Littleton"
"00HA023","Hinton Blewett"
"00HA024","Hinton Charterhouse"
"00HA025","Kelston"
"00HA026","Keynsham"
"00HA027","Marksbury"
"00HA028","Monkton Combe"
"00HA029","Nempnett Thrubwell"
"00HA030","Newton St. Loe"
"00HA031","North Stoke"
"00HA032","Norton Malreward"
"00HA033","Norton-Radstock"
"00HA034","Paulton"
"00HA035","Peasedown St. John"
"00HA036","Priston"
"00HA037","Publow"
"00HA038","St. Catherine"
"00HA039","Saltford"
"00HA040","Shoscombe"
"00HA041","Southstoke"
"00HA042","Stanton Drew"
"00HA043","Stowey-Sutton"
"00HA044","Swainswick"
"00HA045","Timsbury"
"00HA046","Ubley"
"00HA047","Wellow"
"00HA048","West Harptree"
"00HA049","Whitchurch"
"00HC001","Abbots Leigh"
"00HC002","Backwell"
"00HC003","Banwell"
"00HC004","Barrow Gurney"
"00HC005","Blagdon"
"00HC006","Bleadon"
"00HC007","Brockley"
"00HC008","Burrington"
"00HC009","Butcombe"
"00HC010","Churchill"
"00HC011","Clapton-in-Gordano"
"00HC012","Cleeve"
"00HC013","Clevedon"
"00HC014","Congresbury"
"00HC015","Dundry"
"00HC016","Easton-in-Gordano"
"00HC017","Flax Bourton"
"00HC018","Hutton"
"00HC019","Kenn"
"00HC020","Kewstoke"
"00HC021","Kingston Seymour"
"00HC022","Locking"
"00HC023","Long Ashton"
"00HC024","Loxton"
